Unidad;Tipo de Gasto;Auxiliar;Código concepto;Concepto;Recurso;Valor inicial;Valor apropiacion;Acumulado compromiso;Acumulado pago;Fecha final
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.001.01.01;Sueldo básico administrativos;10.0 - Aportes Nacion - Funcionamiento;$ 29,971,402,020.00;$ 20,203,424,803.78;$ 20,179,409,395.78;$ 20,179,409,395.78;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.001.01.02;Sueldo básico docentes;10.0 - Aportes Nacion - Funcionamiento;$ 32,554,595,835.00;$ 29,400,990,995.00;$ 24,153,150,758.00;$ 24,153,150,758.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.001.01.03;Sueldo básico trabajadores oficiales;10.0 - Aportes Nacion - Funcionamiento;$ 5,512,787,460.00;$ 5,512,787,460.00;$ 4,154,999,832.00;$ 4,154,999,832.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.001.02;Horas extras, dominicales, festivos y recargos;10.0 - Aportes Nacion - Funcionamiento;$ 936,261,453.00;$ 1,073,765,406.00;$ 1,073,765,406.00;$ 1,073,765,406.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.001.03;Gastos de representación;10.0 - Aportes Nacion - Funcionamiento;$ 28,904,130,293.00;$ 16,818,564,154.00;$ 16,818,564,154.00;$ 16,818,564,154.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.001.04.01;Subsidio de alimentación administrativos;10.0 - Aportes Nacion - Funcionamiento;$ 160,249,163.00;$ 261,361,062.00;$ 261,149,348.00;$ 261,149,348.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.001.04.02;Subsidio de alimentación trabajadores oficiales;10.0 - Aportes Nacion - Funcionamiento;$ 132,380,598.00;$ 216,814,934.00;$ 216,814,934.00;$ 216,814,934.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.001.05.01;Auxilio de transporte administrativos;10.0 - Aportes Nacion - Funcionamiento;$ 213,854,595.00;$ 844,468,490.00;$ 843,970,300.00;$ 843,970,300.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.001.05.02;Auxilio de transporte trabajadores oficiales;10.0 - Aportes Nacion - Funcionamiento;$ 83,676,237.00;$ 220,446,230.00;$ 220,446,230.00;$ 220,446,230.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.001.06.01;Prima de servicio administrativos;10.0 - Aportes Nacion - Funcionamiento;$ 3,759,573,552.00;$ 3,759,573,552.00;$ 2,908,623,495.00;$ 2,908,623,495.00;31/08/2026
