Vigencia;Unidad;Concepto;Recurso;Total recaudo
2016;01 - ADMINISTRATIVA Y FINANCIERA;Arrendamientos;20-RECURSOS PROPIOS;$ 241.955.643,10
2016;01 - ADMINISTRATIVA Y FINANCIERA;Restaurante y cafeterias;20-RECURSOS PROPIOS;$ 1.898.046.035,00
2016;01 - ADMINISTRATIVA Y FINANCIERA;Uptc;20-RECURSOS PROPIOS;$ 1.343.726.253,73
2016;01 - ADMINISTRATIVA Y FINANCIERA;Ingresos de Vigencias Anteriores;20-RECURSOS PROPIOS;$ 721.534.733,24
2016;01 - ADMINISTRATIVA Y FINANCIERA;Indemnizaciones Compañias Seguros;20-RECURSOS PROPIOS;$ 260.766.280,96
2016;01 - ADMINISTRATIVA Y FINANCIERA;Matriculas Pregrado;20-RECURSOS PROPIOS;$ 37.048.760.233,16
2016;01 - ADMINISTRATIVA Y FINANCIERA;Inscripciones pregrado;20-RECURSOS PROPIOS;$ 1.985.686.995,75
2016;01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros;20-RECURSOS PROPIOS;$ 2.508.166.914,92
2016;01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros Fondo Patrimonial;20-RECURSOS PROPIOS;$ 51.923.110,03
2016;01 - ADMINISTRATIVA Y FINANCIERA;Excedentes Financieros R 20 inversion;20-RECURSOS PROPIOS;$ 10.862.646.903,33
2016;01 - ADMINISTRATIVA Y FINANCIERA;Excedentes Financieros Funcionamiento RP;20-RECURSOS PROPIOS;$ 8.157.977.287,09
2017;01 - ADMINISTRATIVA Y FINANCIERA;Arrendamientos;20-RECURSOS PROPIOS;$ 207.059.726,61
2017;01 - ADMINISTRATIVA Y FINANCIERA;Restaurante y cafeterias;20-RECURSOS PROPIOS;$ 2.094.709.305,00
2017;01 - ADMINISTRATIVA Y FINANCIERA;Uptc;20-RECURSOS PROPIOS;$ 1.302.091.519,18
2017;01 - ADMINISTRATIVA Y FINANCIERA;Ingresos de Vigencias Anteriores;20-RECURSOS PROPIOS;$ 961.825.550,33
2017;01 - ADMINISTRATIVA Y FINANCIERA;Indemnizaciones Compañias Seguros;20-RECURSOS PROPIOS;$ 119.272.686,69
2017;01 - ADMINISTRATIVA Y FINANCIERA;Matriculas Pregrado;20-RECURSOS PROPIOS;$ 40.999.601.501,97
2017;01 - ADMINISTRATIVA Y FINANCIERA;Inscripciones pregrado;20-RECURSOS PROPIOS;$ 1.762.643.092,70
2017;01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros;20-RECURSOS PROPIOS;$ 3.017.923.887,84
2017;01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros Fondo Patrimonial;20-RECURSOS PROPIOS;$ 59.201.714,00
2017;01 - ADMINISTRATIVA Y FINANCIERA;Excedentes Financieros R 20 inversion;20-RECURSOS PROPIOS;$ 9.525.359.530,02
2017;01 - ADMINISTRATIVA Y FINANCIERA;Excedentes Financieros Funcionamiento;20-RECURSOS PROPIOS;$ 6.178.583.807,11
2018;01 - ADMINISTRATIVA Y FINANCIERA;Arrendamientos;20-RECURSOS PROPIOS;$ 218.726.469,12
2018;01 - ADMINISTRATIVA Y FINANCIERA;Restaurante y cafeterias;20-RECURSOS PROPIOS;$ 1.820.011.341,48
2018;01 - ADMINISTRATIVA Y FINANCIERA;Uptc;20-RECURSOS PROPIOS;$ 1.530.025.280,13
2018;01 - ADMINISTRATIVA Y FINANCIERA;Ingresos de Vigencias Anteriores;20-RECURSOS PROPIOS;$ 150.667.759,58
2018;01 - ADMINISTRATIVA Y FINANCIERA;Indemnizaciones Compañias Seguros;20-RECURSOS PROPIOS;$ 1.282.000,00
2018;01 - ADMINISTRATIVA Y FINANCIERA;Matriculas Pregrado;20-RECURSOS PROPIOS;$ 41.198.195.063,81
2018;01 - ADMINISTRATIVA Y FINANCIERA;Inscripciones pregrado;20-RECURSOS PROPIOS;$ 2.128.226.166,00
2018;01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros;20-RECURSOS PROPIOS;$ 2.283.399.816,35
2018;01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros Fondo Patrimonial;20-RECURSOS PROPIOS;$ 34.542.413,00
2018;01 - ADMINISTRATIVA Y FINANCIERA;Excedentes Financieros R 20 inversion;20-RECURSOS PROPIOS;$ 7.289.115.018,52
2018;01 - ADMINISTRATIVA Y FINANCIERA;Excedentes Financieros Funcionamiento RP;20-RECURSOS PROPIOS;$ 5.175.224.650,92
2019;01 - ADMINISTRATIVA Y FINANCIERA;Arrendamientos;20-RECURSOS PROPIOS;$ 238.926.248,33
2019;01 - ADMINISTRATIVA Y FINANCIERA;Restaurante y cafeterias;20-RECURSOS PROPIOS;$ 2.857.832.220,00
2019;01 - ADMINISTRATIVA Y FINANCIERA;Uptc;20-RECURSOS PROPIOS;$ 2.462.423.225,54
2019;01 - ADMINISTRATIVA Y FINANCIERA;Ingresos de Vigencias Anteriores;20-RECURSOS PROPIOS;$ 82.469.890,00
2019;01 - ADMINISTRATIVA Y FINANCIERA;Indemnizaciones Compañias Seguros;20-RECURSOS PROPIOS;$ 12.698.010,00
2019;01 - ADMINISTRATIVA Y FINANCIERA;Matriculas Pregrado;20-RECURSOS PROPIOS;$ 40.939.631.215,16
2019;01 - ADMINISTRATIVA Y FINANCIERA;Inscripciones pregrado;20-RECURSOS PROPIOS;$ 1.865.886.048,00
2019;01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros;20-RECURSOS PROPIOS;$ 2.024.178.611,05
2019;01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros Fondo Patrimonial;20-RECURSOS PROPIOS;$ 53.962.346,89
2019;01 - ADMINISTRATIVA Y FINANCIERA;Excedentes Financieros R 20 inversion;20-RECURSOS PROPIOS;$ 2.109.945.631,97
2020;01 - ADMINISTRATIVA Y FINANCIERA;Arrendamientos;20-RECURSOS PROPIOS;$ 283.173.645,00
2020;01 - ADMINISTRATIVA Y FINANCIERA;Restaurante y cafeterias;20-RECURSOS PROPIOS;$ 431.687.489,00
2020;01 - ADMINISTRATIVA Y FINANCIERA;Uptc;20-RECURSOS PROPIOS;$ 5.916.282.478,43
2020;01 - ADMINISTRATIVA Y FINANCIERA;Ingresos de Vigencias Anteriores;20-RECURSOS PROPIOS;$ 106.587.000,00
2020;01 - ADMINISTRATIVA Y FINANCIERA;Indemnizaciones Compañias Seguros;20-RECURSOS PROPIOS;$ 14.893.651,00
2020;01 - ADMINISTRATIVA Y FINANCIERA;Matriculas Pregrado;20-RECURSOS PROPIOS;$ 27.002.706.462,07
2020;01 - ADMINISTRATIVA Y FINANCIERA;Inscripciones pregrado;20-RECURSOS PROPIOS;$ 629.594.566,00
2020;01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros;20-RECURSOS PROPIOS;$ 1.333.100.166,16
2020;01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros Fondo Patrimonial;20-RECURSOS PROPIOS;$ 39.568.421,16
2020;01 - ADMINISTRATIVA Y FINANCIERA;Excedentes Financieros R 20 inversion;20-RECURSOS PROPIOS;$ 725.292.560,49
2021;01 - ADMINISTRATIVA Y FINANCIERA;Arrendamientos;20-RECURSOS PROPIOS;$ 187.581.217,00
2021;01 - ADMINISTRATIVA Y FINANCIERA;Restaurante y cafeterias;20-RECURSOS PROPIOS;$ 13.292.640,00
2021;01 - ADMINISTRATIVA Y FINANCIERA;Uptc;20-RECURSOS PROPIOS;$ 2.600.687.285,52
2021;01 - ADMINISTRATIVA Y FINANCIERA;Ingresos de Vigencias Anteriores;20-RECURSOS PROPIOS;$ 179.408.032,00
2021;01 - ADMINISTRATIVA Y FINANCIERA;Indemnizaciones Compañias Seguros;20-RECURSOS PROPIOS;$ 41.634.587,00
2021;01 - ADMINISTRATIVA Y FINANCIERA;Matriculas Pregrado;20-RECURSOS PROPIOS;$ 23.768.103.097,52
2021;01 - ADMINISTRATIVA Y FINANCIERA;Inscripciones pregrado;20-RECURSOS PROPIOS;$ 2.175.710.070,28
2021;01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros;20-RECURSOS PROPIOS;$ 400.855.671,25
2021;01 - ADMINISTRATIVA Y FINANCIERA;Excedentes Financieros R 20 inversion;20-RECURSOS PROPIOS;$ 619.061.443,23
2021;01 - ADMINISTRATIVA Y FINANCIERA;Excedentes Financieros Funcionamiento;20-RECURSOS PROPIOS;$ 828.591.470,10
2022;01 - ADMINISTRATIVA Y FINANCIERA;Arrendamientos;20-RECURSOS PROPIOS;$ 268.231.711,10
2022;01 - ADMINISTRATIVA Y FINANCIERA;Restaurante y cafeterias;20-RECURSOS PROPIOS;$ 3.277.705.450,00
2022;01 - ADMINISTRATIVA Y FINANCIERA;Uptc;20-RECURSOS PROPIOS;$ 1.132.073.001,83
2022;01 - ADMINISTRATIVA Y FINANCIERA;Ingresos de Vigencias Anteriores;20-RECURSOS PROPIOS;$ 283.931.793,00
2022;01 - ADMINISTRATIVA Y FINANCIERA;Indemnizaciones Compañias Seguros;20-RECURSOS PROPIOS;$ 284.175.567,00
2022;01 - ADMINISTRATIVA Y FINANCIERA;Matriculas Pregrado;20-RECURSOS PROPIOS;$ 16.337.771.799,00
2022;01 - ADMINISTRATIVA Y FINANCIERA;Otros Ingresos Academicos;20-RECURSOS PROPIOS;$ 680.780.694,00
2022;01 - ADMINISTRATIVA Y FINANCIERA;Inscripciones pregrado;20-RECURSOS PROPIOS;$ 2.722.974.181,90
2022;01 - ADMINISTRATIVA Y FINANCIERA;Ingresos No Clasificados;20-RECURSOS PROPIOS;$ 96.400,00
2022;01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros;20-RECURSOS PROPIOS;$ 1.428.000.313,70
2022;01 - ADMINISTRATIVA Y FINANCIERA;Excedentes Financieros R 20 inversion;20-RECURSOS PROPIOS;$ 366.131.612,45
2022;01 - ADMINISTRATIVA Y FINANCIERA;Excedentes Financieros Funcionamiento;20-RECURSOS PROPIOS;$ 759.807.691,53
2023;01 - ADMINISTRATIVA Y FINANCIERA;Arrendamientos;20-RECURSOS PROPIOS;$ 304.147.066,89
2023;01 - ADMINISTRATIVA Y FINANCIERA;Restaurante y cafeterias;20-RECURSOS PROPIOS;$ 3.704.413.434,00
2023;01 - ADMINISTRATIVA Y FINANCIERA;Uptc;20-RECURSOS PROPIOS;$ 2.257.961.255,71
2023;01 - ADMINISTRATIVA Y FINANCIERA;Indemnizaciones Compañias Seguros;20-RECURSOS PROPIOS;$ 29.896.447,00
2023;01 - ADMINISTRATIVA Y FINANCIERA;Matriculas Pregrado;20-RECURSOS PROPIOS;$ 18.344.881.215,00
2023;01 - ADMINISTRATIVA Y FINANCIERA;Matrículas Pregrado Vigencias Anteriores;20-RECURSOS PROPIOS;$ 596.325.920,00
2023;01 - ADMINISTRATIVA Y FINANCIERA;Inscripciones pregrado;20-RECURSOS PROPIOS;$ 2.594.558.300,00
2023;01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros;20-RECURSOS PROPIOS;$ 2.382.473.878,14
2023;01 - ADMINISTRATIVA Y FINANCIERA;Excedentes Financieros R 20 inversion;20-RECURSOS PROPIOS;$ 338.861.795,21
2023;01 - ADMINISTRATIVA Y FINANCIERA;Excedentes Financieros Funcionamiento RP;20-RECURSOS PROPIOS;$ 486.396.873,81
2023;04 - CIENCIAS DE LA EDUCACION;Excedentes Financieros Funcionamiento RP;20-RECURSOS PROPIOS;$ 10.210.872,32
2023;12 - SECCIONAL DUITAMA;Excedentes Financieros Funcionamiento RP;20-RECURSOS PROPIOS;$ 3.165.400,00
2023;13 - SECCIONAL SOGAMOSO;Excedentes Financieros Funcionamiento RP;20-RECURSOS PROPIOS;$ 7.774.500,00
2024;01 - ADMINISTRATIVA Y FINANCIERA;Pregrado - Inscripciones ;20-RECURSOS PROPIOS;$ 3.021.726.000,00
2024;01 - ADMINISTRATIVA Y FINANCIERA;Pregrado - Derechos de grado;20-RECURSOS PROPIOS;$ 961.979.248,00
2024;01 - ADMINISTRATIVA Y FINANCIERA;Pregrado - Matrículas;20-RECURSOS PROPIOS;$ 7.707.403.599,00
2024;01 - ADMINISTRATIVA Y FINANCIERA;Pregrado - Certificaciones, constancias académicas y derechos complementarios;20-RECURSOS PROPIOS;$ 3.393.625.320,00
2024;01 - ADMINISTRATIVA Y FINANCIERA;Sanciones administrativas;20-RECURSOS PROPIOS;$ 29.849.852,00
2024;01 - ADMINISTRATIVA Y FINANCIERA;"Comercio y distribución; alojamiento; servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua";20-RECURSOS PROPIOS;$ 3.928.052.683,00
2024;01 - ADMINISTRATIVA Y FINANCIERA;"Servicios financieros y servicios conexos; servicios inmobiliarios; y servicios de arrendamiento y leasing";20-RECURSOS PROPIOS;$ 227.673.982,19
2024;01 - ADMINISTRATIVA Y FINANCIERA;"Minerales; electricidad, gas y agua";20-RECURSOS PROPIOS;$ 166.121.321,00
2024;01 - ADMINISTRATIVA Y FINANCIERA;Productos metálicos, maquinaria y equipo;20-RECURSOS PROPIOS;$ 6.017.390,00
2024;01 - ADMINISTRATIVA Y FINANCIERA;Indemnizaciones relacionadas con seguros no de vida;20-RECURSOS PROPIOS;$ 56.265.499,00
2024;01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros - Propios;20-RECURSOS PROPIOS;$ 1.837.097.878,55
2024;01 - ADMINISTRATIVA Y FINANCIERA;No condicionadas a la adquisición de un activo ;20-RECURSOS PROPIOS;$ 120.000.000,00
2024;01 - ADMINISTRATIVA Y FINANCIERA;Recursos del balance - Propios;20-RECURSOS PROPIOS;$ 1.117.803.557,93
2024;01 - ADMINISTRATIVA Y FINANCIERA;Recursos del balance - Pregrado;20-RECURSOS PROPIOS;$ 61.697.475,00
2024;01 - ADMINISTRATIVA Y FINANCIERA;Ingresos de Vigencias Anteriores - Servicios Públicos;20-RECURSOS PROPIOS;$ 114.877.088,00
2024;01 - ADMINISTRATIVA Y FINANCIERA;Ingresos de Vigencias Anteriores - Pregrado;20-RECURSOS PROPIOS;$ 992.069.194,00
2024;01 - ADMINISTRATIVA Y FINANCIERA;Ingresos de Vigencias Anteriores - Propios;20-RECURSOS PROPIOS;$ 14.601.641,00
2024;04 - CIENCIAS DE LA EDUCACION;Pregrado - Matrículas;20-RECURSOS PROPIOS;$ 14.983.800,00
2024;05 - CIENCIAS BASICAS;Pregrado - Matrículas;20-RECURSOS PROPIOS;$ 27.144.000,00
2024;06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;Pregrado - Matrículas;20-RECURSOS PROPIOS;$ 24.804.000,00
2024;07 - CIENCIAS DE LA SALUD;Pregrado - Matrículas;20-RECURSOS PROPIOS;$ 4.914.000,00
2024;08 - CIENCIAS AGROPECUARIAS;Pregrado - Matrículas;20-RECURSOS PROPIOS;$ 7.254.000,00
2024;09 - INGENIERIA;Pregrado - Matrículas;20-RECURSOS PROPIOS;$ 159.432.000,00
2024;10 - DERECHO Y CIENCIAS SOCIALES;Pregrado - Matrículas;20-RECURSOS PROPIOS;$ 45.396.000,00
2024;12 - SECCIONAL DUITAMA;Pregrado - Matrículas;20-RECURSOS PROPIOS;$ 28.548.000,00
2024;11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;Pregrado - Matrículas;20-RECURSOS PROPIOS;$ 6.435.000,00
2025;01 - ADMINISTRATIVA Y FINANCIERA;Certificaciones y constancias;20-RECURSOS PROPIOS;$ 54.987.450,00
2025;01 - ADMINISTRATIVA Y FINANCIERA;Pregrado - Inscripciones ;20-RECURSOS PROPIOS;$ 2.564.543.800,00
