Vigencia;Unidad;Concepto;Recurso;Total recaudo
2016;01 - ADMINISTRATIVA Y FINANCIERA;Aportes para Funcionamiento;10-APORTE NACION;$ 118.124.822.897,00
2017;01 - ADMINISTRATIVA Y FINANCIERA;Aportes para Funcionamiento;10-APORTE NACION;$ 131.992.813.286,00
2018;01 - ADMINISTRATIVA Y FINANCIERA;Aportes para Funcionamiento;10-APORTE NACION;$ 139.561.046.999,00
2019;01 - ADMINISTRATIVA Y FINANCIERA;Aportes para Funcionamiento;10-APORTE NACION;$ 149.868.926.819,00
2020;01 - ADMINISTRATIVA Y FINANCIERA;Aportes para Funcionamiento;10-APORTE NACION;$ 166.028.418.675,00
2021;01 - ADMINISTRATIVA Y FINANCIERA;Aportes para Funcionamiento;10-APORTE NACION;$ 171.313.529.978,00
2022;01 - ADMINISTRATIVA Y FINANCIERA;Aportes para Funcionamiento;10-APORTE NACION;$ 193.437.536.665,00
2023;01 - ADMINISTRATIVA Y FINANCIERA;Aportes para Funcionamiento;10-APORTE NACION;$ 228.401.208.107,00
2024;01 - ADMINISTRATIVA Y FINANCIERA;Aportes para Funcionamiento;10.0-Aportes Nacion - Funcionamiento;$ 252.310.024.180,00
2025;01 - ADMINISTRATIVA Y FINANCIERA;Aportes para Funcionamiento;10.0-Aportes Nacion - Funcionamiento;$ 274.240.602.293,00
2025;01 - ADMINISTRATIVA Y FINANCIERA;Aportes PIC Convencional;10.1-Aportes Nación - PIC Convencional;$ 10.080.716.557,00
2025;01 - ADMINISTRATIVA Y FINANCIERA;Aportes PIC Territorial;10.2-Aportes Nación - PIC Territorial;$ 2.835.297.958,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;Base Presupuestal Consolidada (R10 a R10.5);10.0 Base Consolidada;$ 351.357.927.407,00
2027;01 - ADMINISTRATIVA Y FINANCIERA;A. PRESUPUESTO DE FUNCIONAMIENTO;10.0-Aportes Nación Funcionamiento (PGN 2027);$ 395.704.592.082,00
