Vigencia;Unidad;Concepto;Recurso;Total recaudo
2016;01 - ADMINISTRATIVA Y FINANCIERA;Devolución IVA - Instituciones de Educación Superior;21-Devolucion IVA;$ 4.390.197.920
2017;01 - ADMINISTRATIVA Y FINANCIERA;Devolución IVA - Instituciones de Educación Superior;21-Devolucion IVA;$ 3.562.839.475
2018;01 - ADMINISTRATIVA Y FINANCIERA;Devolución IVA - Instituciones de Educación Superior;21-Devolucion IVA;$ 3.754.016.152
2019;01 - ADMINISTRATIVA Y FINANCIERA;Devolución IVA - Instituciones de Educación Superior;21-Devolucion IVA;$ 5.219.433.295
2020;01 - ADMINISTRATIVA Y FINANCIERA;Devolución IVA - Instituciones de Educación Superior;21-Devolucion IVA;$ 3.972.192.702
2021;01 - ADMINISTRATIVA Y FINANCIERA;Devolución IVA - Instituciones de Educación Superior;21-Devolucion IVA;$ 4.825.577.630
2022;01 - ADMINISTRATIVA Y FINANCIERA;Devolución IVA - Instituciones de Educación Superior;21-Devolucion IVA;$ 4.727.709.282
2023;01 - ADMINISTRATIVA Y FINANCIERA;Devolución IVA - Instituciones de Educación Superior;21-Devolucion IVA;$ 4.887.893.421
2024;01 - ADMINISTRATIVA Y FINANCIERA;Devolución IVA - Instituciones de Educación Superior;21-Devolucion IVA;$ 4.000.000.000
2025;01 - ADMINISTRATIVA Y FINANCIERA;Devolución IVA - Instituciones de Educación Superior;21-Devolucion IVA;$ 7.981.747.901
2026;01 - ADMINISTRATIVA Y FINANCIERA;Devolución IVA - Instituciones de Educación Superior;21-Devolucion IVA;$ 4.672.202.857
