Vigencia;Unidad;Codigo;Recurso;Concepto;Valor ene;Valor feb;Valor mar;Valor abr;Valor may;Valor jun;Valor jul;Valor ago;Valor sep;Valor oct;Valor nov;Valor dic
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.01;10;Aportes para Funcionamiento;3.14782E+11;$ 21,345,948,000.00;$ 27,167,570,238.00;$ 27,167,570,238.00;$ 27,167,570,238.00;$ 27,167,570,238.00;$ 27,167,570,238.00;$ 27,167,570,238.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.001;10;Recursos del balance - Aportes funcionamiento;545944007.9;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.13.01.002;10;Ingresos de Vigencias Anteriores - Aportes;0;$ 11,038,169,644.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.021;10.1;Recursos del balance - PIC Convencional;1967656093;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.020;10.2;Recursos del balance - PIC Territorial;936477783.6;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.10;10.5;Matrículas Pregrado-Política de Gratuidad;20708427143;$ 0.00;$ 0.00;$ 0.00;$ 1,395,938,900.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.07.01;12;Estampilla Pro- Universidad Nacional y Demás Entidades Estatales de Colombia;5706455422;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 7,265,094,590.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.003;12;Rendimientos Financieros - Estampilla Pro UNAL y demas universidades;0;$ 254,794.58;$ 254,794.58;$ 1,771,232.79;$ 2,165,753.31;$ 2,486,301.30;$ 2,567,671.20;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.007;12;Recursos del balance - Estampilla Prounal;9991479040;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.06.00;13;Excedentes Cooperativas Art.142, Ley 1819 del 2016;2126284735;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 1,534,765,063.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.022;13;Recursos del Balance - Cooperativas;1887697;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.03;14;Matrículas Pregrado FSE;18737327483;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.023;14;Recursos del balance - Matrículas FSE;888183454.3;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.02;16;Aportes para Inversion;7728720060;$ 0.00;$ 0.00;$ 7,740,281,271.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.004;16;Rendimientos Financieros - CREE;0;$ 85,937.43;$ 0.00;$ 77,759.45;$ 85,947.92;$ 83,905.06;$ 85,955.05;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.014;16;Recursos del balance - Aportes inversion;5148400892;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.02.01;16.1;Plan Fomento a Bienestar (mejoramiento condiciones de bienestar);1407480044;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.04;17;Devolucion de descuento por votacion;5447536009;$ 376,234,900.00;$ 478,844,455.00;$ 478,844,455.00;$ 478,844,455.00;$ 478,844,455.00;$ 478,844,455.00;$ 478,844,455.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.05;18;Articulo 87 CESU;427778274;$ 140,681,800.00;$ 179,049,568.00;$ 179,049,568.00;$ 179,049,568.00;$ 179,049,568.00;$ 179,049,568.00;$ 179,049,568.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
