Unidad;Código concepto;Concepto;Recurso;Valor inicial;Valor aforo;Total recaudo;Fecha final
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.01;Aportes para Funcionamiento;10.0-Aportes Nacion - Funcionamiento;$ 314,781,873,726.00;$ 314,781,873,726.00;$ 211,546,696,007.86;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.001;Recursos del balance - Aportes funcionamiento;10.0-Aportes Nacion - Funcionamiento;$ 0.00;$ 545,944,007.86;$ 545,944,007.86;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.13.01.002;Ingresos de Vigencias Anteriores - Aportes;10.0-Aportes Nacion - Funcionamiento;$ 0.00;$ 0.00;$ 11,038,169,644.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.021;Recursos del balance - PIC Convencional;10.1-Aportes Nación - PIC Convencional;$ 0.00;$ 1,967,656,092.91;$ 1,967,656,092.91;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.020;Recursos del balance - PIC Territorial;10.2-Aportes Nación - PIC Territorial;$ 0.00;$ 936,477,783.56;$ 936,477,783.56;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.10;Matrículas Pregrado-Política de Gratuidad;10.5-Aportes Nación - Política de gratuidad;$ 20,708,427,143.00;$ 20,708,427,143.00;$ 11,208,316,954.14;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.07.01;Estampilla Pro- Universidad Nacional y Demás Entidades Estatales de Colombia;12-Estampillas Otras Universidades;$ 5,706,455,422.00;$ 7,265,094,590.00;$ 7,265,094,590.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.003;Rendimientos Financieros - Estampilla Pro UNAL y demas universidades;12-Estampillas Otras Universidades;$ 0.00;$ 0.00;$ 14,813,424.44;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.007;Recursos del balance - Estampilla Prounal;12-Estampillas Otras Universidades;$ 0.00;$ 9,991,479,039.75;$ 9,991,479,039.75;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.06.00;Excedentes Cooperativas Art.142, Ley 1819 del 2016;13-Cooperativas;$ 2,126,284,735.00;$ 2,126,284,735.00;$ 1,534,765,063.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.022;Recursos del Balance - Cooperativas;13-Cooperativas;$ 0.00;$ 1,887,697.00;$ 1,887,697.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.03;Matrículas Pregrado FSE;14-Matriculas FSE;$ 18,737,327,483.00;$ 18,737,327,483.00;$ 0.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.023;Recursos del balance - Matrículas FSE;14-Matriculas FSE;$ 0.00;$ 888,183,454.34;$ 888,183,454.34;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.002.01.03.00;Asignaciones del Sistema General de Regalías;15-Regalias;$ 0.00;$ 0.00;$ 234,759,273.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.02;Aportes para Inversion;16.0-Aportes inversion;$ 7,728,720,060.00;$ 13,736,522,221.00;$ 7,740,281,271.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.004;Rendimientos Financieros - CREE;16.0-Aportes inversion;$ 0.00;$ 0.00;$ 589,379.13;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.014;Recursos del balance - Aportes inversion;16.0-Aportes inversion;$ 0.00;$ 5,148,400,891.97;$ 5,148,400,891.97;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.11;Inversion PFB Plan de Fomento al Bienestar;16.1-Inversion PFB;$ 0.00;$ 1,407,480,044.00;$ 1,407,480,044.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.04;Devolucion de descuento por votacion;17-Devolucion descuento electoral;$ 5,447,536,009.00;$ 5,447,536,009.00;$ 3,728,146,085.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.05;Articulo 87 CESU;18-Articulo 87 CESU;$ 427,778,274.00;$ 427,778,274.00;$ 1,394,028,776.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.015;Certificaciones y constancias;20-Propios;$ 54,390,954.00;$ 54,390,954.00;$ 42,600,900.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.01.01;Pregrado - Inscripciones ;20-Propios;$ 316,506,993.00;$ 316,506,993.00;$ 1,596,086,800.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.01.02;Pregrado - Derechos de grado;20-Propios;$ 451,761,696.00;$ 451,761,696.00;$ 699,931,740.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.01.03;Pregrado - Matrículas;20-Propios;$ 5,525,977,978.00;$ 5,525,977,978.00;$ 3,331,279,702.00;25/08/2026
