Vigencia;Unidad;Gasto;Objeto;Tipo de Gastos;Código concepto;Código recurso;Código fuente;Concepto;Valor poa_inicial;Valor modificaciones;Valor programado_poa;Valor solicitudes;Valor disponible_poa
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.01.01;10.0;APN;Sueldo básico administrativos;$ 20.203.424.803,78;$ 0,00;$ 20.203.424.803,78;$ 20.179.409.395,78;$ 24.015.408,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.01.01;10.5;APN;Sueldo básico administrativos;$ 3.083.583.647,00;-$ 1.300.000.000,00;$ 1.783.583.647,00;$ 1.783.583.647,00;$ 0,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.01.01;17;APN;Sueldo básico administrativos;$ 0,00;$ 500.000.000,00;$ 500.000.000,00;$ 354.716.100,22;$ 145.283.899,78
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.01.01;20;ADM;Sueldo básico administrativos;$ 684.671.930,00;$ 0,00;$ 684.671.930,00;$ 0,00;$ 684.671.930,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.01.01;31;ADM;Sueldo básico administrativos;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.01.02;10.0;APN;Sueldo básico docentes;$ 29.400.990.995,00;$ 0,00;$ 29.400.990.995,00;$ 24.153.150.758,00;$ 5.247.840.237,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.01.02;10.5;APN;Sueldo básico docentes;$ 2.846.047.059,00;-$ 1.500.000.000,00;$ 1.346.047.059,00;$ 0,00;$ 1.346.047.059,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.01.02;31;ADM;Sueldo básico docentes;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.01.03;10.0;APN;Sueldo básico trabajadores oficiales;$ 5.512.787.460,00;$ 0,00;$ 5.512.787.460,00;$ 4.154.999.832,00;$ 1.357.787.628,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.01.03;10.5;APN;Sueldo básico trabajadores oficiales;$ 481.948.927,00;$ 0,00;$ 481.948.927,00;$ 0,00;$ 481.948.927,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.02;10.0;APN;Horas extras, dominicales, festivos y recargos;$ 936.261.453,00;$ 137.503.953,00;$ 1.073.765.406,00;$ 1.073.765.406,00;$ 0,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.02;10.5;APN;Horas extras, dominicales, festivos y recargos;$ 125.905.589,00;$ 0,00;$ 125.905.589,00;$ 82.592.896,00;$ 43.312.693,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.02;20;ADM;Horas extras, dominicales, festivos y recargos;$ 9.447.910,00;$ 0,00;$ 9.447.910,00;$ 0,00;$ 9.447.910,00
