Recurso,Valor inicial,Aforo,Recaudo 31/08,Acuerdo,SIIF,Total Recaudo
10.0-Aportes Nacion - Funcionamiento,314781873726,327070167369,238714266246,0.0,88355901123,327070167369
10.1-Aportes Nación - PIC Convencional,0,7789060740,5623807220,0.0,2165253520,7789060740
10.2-Aportes Nación - PIC Territorial,0,3060211833,3060211833,0.0,0,3060211833
10.3-Aportes Nación – Procesos de fortalecimiento a la Gestión,0,2229170511,0,0.0,2229170511,2229170511
10.5-Aportes Nación - Política de gratuidad,20708427143,11208316954,11208316954,0.0,0,11208316954
12-Estampillas Otras Universidades,5706455422,17256573629.75,17271387054.19,0.0,0,17271387054.19
13-Cooperativas,2126284735,1534765063,1534765063,0.0,0,1534765063
14-Matriculas FSE,0,12640832058,12640832058,0.0,0,12640832058
15-Regalias,0,0,234759273,0.0,0,234759273
16.0-Aportes inversion,7728720060,18884923112.97,12889271542.10,0.0,0,12889271542.10
16.1-Inversion PFB,0,1407480044,1407480044,0.0,0,1407480044
16.2-Inversion PFC,0,0,6651026.09,0.0,0,6651026.09
17-Devolucion descuento electoral,5447536009,5643523905,4206990540,0.0,1436533365,5643523905
18-Articulo 87 CESU,427778274,2110227048,1573078344,0.0,537148704,2110227048
20-Propios,17299519752,19131170417.60,16377140477.36,0.0,0,16377140477.36
21-Devolucion IVA,4587997825,5541391098,5625596130,0.0,0,5625596130
31-Posgrados,45266649084,46474483914.43,39764667216,0.0,0,39764667216
32-Extension,2891550000,3021771619.38,3358286129.26,0.0,0,3358286129.26
33-Convenios con derechos,24446415000,39799509881.08,36600538640.04,0.0,0,36600538640.04
34-Convenios sin derechos,0,2532565853.28,2464944465.28,0.0,0,2464944465.28
35-Educacion continuada,2382500000,2733414920.49,2045711804.32,0.0,0,2045711804.32
40-Estampilla UPTC,4206444980,7617269222.14,5191244662.14,0.0,0,5191244662.14
Total general,458008152010,537686829194.12,421799946721.78,0.0,94724007223.0,516523953944.78
