Unidad;Referencia;Fecha compromiso;Tipo de Gasto;Código concepto;Código recurso;Concepto;Valor compromiso;Valor pago
01 - ADMINISTRATIVA Y FINANCIERA;CONTRATOS DE PERSONAL - OPS;30/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;10;Servicios prestados a las empresas y servicios de producción ;$ 37,569,820.00;$ 21,590,460.00
01 - ADMINISTRATIVA Y FINANCIERA;ORDENES DE SERVICIOS;3/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.006.00;10;"Comercio y distribución; alojamiento; servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua";$ 12,000,000.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;CONTRATOS DE PERSONAL - OPS;5/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;10;Servicios prestados a las empresas y servicios de producción ;$ 2,523,830.40;$ 2,523,830.40
01 - ADMINISTRATIVA Y FINANCIERA;CONTRATOS DE PERSONAL - OPS;5/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;10;Servicios prestados a las empresas y servicios de producción ;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;CONTRATOS DE PERSONAL - OPS;9/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;10;Servicios prestados a las empresas y servicios de producción ;$ 40,253,400.00;$ 20,614,620.00
01 - ADMINISTRATIVA Y FINANCIERA;CONTRATOS DE PERSONAL - OPS;9/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;10;Servicios prestados a las empresas y servicios de producción ;$ 100,003,627.00;$ 50,150,187.00
01 - ADMINISTRATIVA Y FINANCIERA;CONTRATOS DE PERSONAL - OPS;9/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;10;Servicios prestados a las empresas y servicios de producción ;$ 30,800,000.00;$ 18,573,333.00
01 - ADMINISTRATIVA Y FINANCIERA;CONTRATOS DE PERSONAL - OPS;9/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;10;Servicios prestados a las empresas y servicios de producción ;$ 40,253,400.00;$ 24,274,020.00
01 - ADMINISTRATIVA Y FINANCIERA;CONTRATOS DE PERSONAL - OPS;9/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;10;Servicios prestados a las empresas y servicios de producción ;$ 98,437,700.00;$ 49,364,900.00
01 - ADMINISTRATIVA Y FINANCIERA;CONTRATOS DE PERSONAL - OPS;9/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;10;Servicios prestados a las empresas y servicios de producción ;$ 37,400,000.00;$ 22,553,333.00
