Unidad;Tipo de Gasto;Referencia;Operacion;Código recurso; Compromiso ; Valor pago 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;NOMINAS - PERSONAL DE PLANTA;LIQUIDACIÓN DE NÓMINA PERSONAL DE PLANTA;10; $ 159,298,091,839 ; $ 84,302,483,549 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;NOMINAS - TEMPORALES;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES;10; $ 91,833,342,269 ; $ 48,599,319,279 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;APORTES - PERSONAL DE PLANTA;LIQUIDACION DE APORTES PATRONALES;10; $ 48,618,152,194 ; $ 25,729,316,203 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;APORTES - TEMPORALES;LIQUIDACION DE APORTES PATRONALES;10; $ 31,582,164,000 ; $ 16,713,664,491 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;NOMINAS - TEMPORALES;LIQUIDACION DE NOMINA TEMPORAL DOCENTES CATEDRATICOS;10; $ 8,537,860,761 ; $ 4,518,339,536 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;NOMINAS - TEMPORALES;LIQUIDACION DE NOMINA TEMPORAL SUPERNUMERARIOS;10; $ 1,701,009,617 ; $ 900,194,934 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;GASTOS DIRECTOS - LIQUIDACIONES;RIESGOS ESTUDIANTES PREGRADO;10; $ 371,585,015 ; $ 196,647,300 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;GASTOS DIRECTOS - LIQUIDACIONES;SALUD ESTUDIANTES MEDICINA FAMILIAR;10; $ 133,603,701 ; $ 70,704,700 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;GASTOS DIRECTOS - LIQUIDACIONES;RIESGOS IV Y V CONTRATISTAS;10; $ 67,117,886 ; $ 35,519,600 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;GASTOS DIRECTOS - LIQUIDACIONES;RIESGOS ESTUDIANTES MEDICINA FAMILIAR;10; $ 26,061,572 ; $ 13,792,100 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;NOMINAS - PERSONAL DE PLANTA;LIQUIDACIÓN DE NÓMINA PERSONAL DE PLANTA;10.5; $ 8,760,819,839 ; $ 4,636,332,186 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;APORTES - PERSONAL DE PLANTA;LIQUIDACION DE APORTES PATRONALES;10.5; $ 6,593,784,264 ; $ 3,489,510,659 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;APORTES - TEMPORALES;LIQUIDACION DE APORTES PATRONALES;10.5; $ 2,133,794,654 ; $ 1,129,230,028 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;NOMINAS - TEMPORALES;LIQUIDACION DE NOMINA TEMPORAL DOCENTES CATEDRATICOS;10.5; $ 146,107,278 ; $ 77,321,745 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;NOMINAS - TEMPORALES;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES;14; $ 93,951,963 ; $ 49,720,519 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;NOMINAS - TEMPORALES;LIQUIDACION DE NOMINA TEMPORAL DOCENTES CATEDRATICOS;14; $ 4,512,795 ; $ 2,388,226 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;NOMINAS - TEMPORALES;LIQUIDACION DE NOMINA TEMPORAL SUPERNUMERARIOS;14; $ 4,206,848 ; $ 2,226,315 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;NOMINAS - PERSONAL DE PLANTA;LIQUIDACIÓN DE NÓMINA PERSONAL DE PLANTA;17; $ 7,303,710,245 ; $ 3,865,212,104 
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal;APORTES - TEMPORALES;LIQUIDACION DE APORTES PATRONALES;17; $ 1,152,593,181 ; $ 609,966,300 
