Unidad;Codigo;Recurso;Concepto;Valor ene;Valor feb;Valor mar;Valor abr;Valor may;Valor jun;Valor jul;Valor ago;Valor sep;Valor oct;Valor nov;Valor dic
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.01;10;Aportes para Funcionamiento;$ 21,345,948,000.00;$ 27,167,570,238.00;$ 27,167,570,238.00;$ 27,167,570,238.00;$ 27,167,570,238.00;$ 27,167,570,238.00;$ 27,167,570,238.00;$ 27,195,326,579.86;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.001;10;Recursos del balance - Aportes funcionamiento;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.13.01.002;10;Ingresos de Vigencias Anteriores - Aportes;$ 11,038,169,644.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.021;10.1;Recursos del balance - PIC Convencional;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.020;10.2;Recursos del balance - PIC Territorial;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.10;10.5;Matrículas Pregrado-Política de Gratuidad;$ 0.00;$ 0.00;$ 0.00;$ 1,395,938,900.00;$ 0.00;$ 0.00;$ 5,623,807,220.00;$ 4,188,570,834.14;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.07.01;12;Estampilla Pro- Universidad Nacional y Demás Entidades Estatales de Colombia;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 7,265,094,590.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.003;12;Rendimientos Financieros - Estampilla Pro UNAL y demas universidades;$ 254,794.58;$ 254,794.58;$ 1,771,232.79;$ 2,165,753.31;$ 2,486,301.30;$ 2,567,671.20;$ 2,465,753.40;$ 2,847,123.28;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.007;12;Recursos del balance - Estampilla Prounal;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.06.00;13;Excedentes Cooperativas Art.142, Ley 1819 del 2016;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 1,534,765,063.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.022;13;Recursos del Balance - Cooperativas;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.03;14;Matrículas Pregrado FSE;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.023;14;Recursos del balance - Matrículas FSE;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.002.01.03.00;15;Asignaciones del Sistema General de Regalías;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.02;16;Aportes para Inversion;$ 0.00;$ 0.00;$ 7,740,281,271.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.004;16;Rendimientos Financieros - CREE;$ 85,937.43;$ 0.00;$ 77,759.45;$ 85,947.92;$ 83,905.06;$ 85,955.05;$ 83,912.03;$ 85,962.19;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.012;16;Rendimientos Financieros - Aportes Inversion;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
